Sr.,Stock Name,Symbol,close,%_change,volume,Add Column
"1","Zydus Wellness Limited","ZYDUSWELL","509.35","14.96%","2,86,57,788",""
"2","Trent Limited","TRENT","3,833.6","7.97%","48,77,807",""
"3","Adani Green Energy Ltd","ADANIGREEN","921.1","7.61%","1,31,13,062",""
"4","LMW Ltd","LMW","13,237","7.52%","24,009",""
"5","Kalyan Jewellers India Ltd","KALYANKJIL","420.35","6.59%","1,22,49,798",""
"6","Neuland Laboratories Limited","NEULANDLAB","13,222","6.35%","1,61,018",""
"7","L&T Finance Ltd","LTF","255.45","6.28%","1,16,78,955",""
"8","Thangamayil Jewellery Limited","THANGAMAYL","3,752.9","5.9%","2,58,648",""
"9","Rbl Bank Limited","RBLBANK","318.15","5.7%","2,27,71,700",""
"10","Indian Energy Exchange Ltd","IEX","126.16","5.64%","1,01,12,144",""
"11","PTC Industries Ltd","PTCIL","15,554","5.62%","19,177",""
"12","Prime Focus Limited","PFOCUS","349.5","5.53%","82,45,853",""
"13","Sobha Limited","SOBHA","1,220","5.46%","2,14,193",""
"14","Vishal Mega Mart Ltd","VMM","113.74","5.43%","2,52,29,396",""
"15","Eih Limited","EIHOTEL","303.6","5.34%","3,29,32,881",""
"16","Adani Energy Solutions Ltd","ADANIENSOL","991.35","5.28%","20,83,508",""
"17","NMDC Steel Ltd","NSLNISP","37.36","5.21%","68,74,198",""
"18","Godrej Properties Limited","GODREJPROP","1,584.7","5.07%","22,23,294",""
"19","Granules India Limited","GRANULES","644","4.95%","11,82,974",""
"20","Acutaas Chemicals Ltd","ACUTAAS","2,212.4","4.84%","11,84,772",""
"21","Kaynes Technology India Ltd","KAYNES","3,706.5","4.76%","22,14,333",""
"22","LG Electronics India Ltd","LGEINDIA","1,379.7","4.62%","14,56,472",""
"23","BSE (Bombay stock exchange) Ltd","BSE","2,982.3","4.59%","59,62,836",""
"24","Dalmia Bharat Limited","DALBHARAT","1,875.4","4.52%","2,78,559",""
"25","Aditya Birla Capital Ltd","ABCAPITAL","311.3","4.38%","40,34,504",""
"26","Multi Commodity Exchange Of India Limited","MCX","2,549","4.34%","36,40,729",""
"27","Avenue Supermarts Ltd","DMART","4,551.3","4.33%","19,15,220",""
"28","Bandhan Bank Ltd","BANDHANBNK","152.58","4.26%","1,55,19,780",""
"29","Nmdc Limited","NMDC","81.4","4.25%","5,24,39,160",""
"30","Bank Of Maharashtra Ltd","MAHABANK","66.59","4.23%","2,06,26,583",""
"31","Pnb Housing Finance Limited","PNBHOUSING","817.35","4.2%","8,32,589",""
"32","Bosch Limited","BOSCHLTD","33,460","4.12%","65,114",""
"33","SignatureGlobal India Ltd","SIGNATURE","780.3","4.11%","6,91,428",""
"34","Bank Of Baroda Ltd","BANKBARODA","259.76","4.09%","2,21,52,306",""
"35","Shriram Finance Ltd","SHRIRAMFIN","928","4.08%","58,98,399",""
"36","Axis Bank Limited","AXISBANK","1,245.3","3.96%","78,47,086",""
"37","City Union Bank Limited","CUB","249.91","3.92%","56,64,468",""
"38","Eclerx Services Limited","ECLERX","1,503.4","3.9%","1,03,604",""
"39","Narayana Hrudayalaya Ltd.","NH","1,685.9","3.75%","2,78,879",""
"40","Lenskart Solutions Ltd","LENSKART","503.05","3.73%","19,75,777",""
"41","Adani Enterprises Limited","ADANIENT","1,902.2","3.71%","31,53,437",""
"42","Devyani International Ltd","DEVYANI","99.98","3.68%","57,47,268",""
"43","Grindwell Norton Limited","GRINDWELL","1,438.6","3.65%","38,342",""
"44","Maharashtra Scooters Limited","MAHSCOOTER","11,801","3.64%","5,562",""
"45","Titan Company Limited","TITAN","4,246.1","3.63%","16,78,285",""
"46","Jk Cement Limited","JKCEMENT","5,356","3.59%","57,194",""
"47","SBI Life Insurance Company Ltd","SBILIFE","1,836.8","3.54%","17,21,071",""
"48","Torrent Power Limited","TORNTPOWER","1,379.1","3.52%","5,46,934",""
"49","Indian Bank Ltd","INDIANB","899.85","3.5%","22,61,012",""
"50","Muthoot Finance Limited","MUTHOOTFIN","3,289.8","3.49%","7,56,759",""
"51","Lloyds Metals & Energy Ltd","LLOYDSME","1,436.7","3.49%","8,68,342",""
"52","Steel Authority Of India Limited","SAIL","160.44","3.4%","2,78,38,073",""
"53","Physicswallah Ltd","PWL","93.03","3.4%","64,82,752",""
"54","Aadhar Housing Finance Ltd","AADHARHFC","453.75","3.34%","2,06,262",""
"55","Bharat Dynamics Ltd","BDL","1,224.6","3.29%","20,26,546",""
"56","Aditya Birla Sun Life AMC Ltd","ABSLAMC","947.1","3.27%","4,11,948",""
"57","Jubilant Foodworks Limited","JUBLFOOD","461.1","3.26%","25,31,547",""
"58","Global Health Ltd","MEDANTA","1,032.95","3.25%","1,12,269",""
"59","Larsen & Toubro Limited","LT","3,727.7","3.17%","33,53,246",""
"60","Ultratech Cement Limited","ULTRACEMCO","10,955","3.15%","3,74,420",""
"61","Dr Agarwals Health Care Ltd","AGARWALEYE","430","3.12%","1,15,619",""
"62","Redington (india) Limited","REDINGTON","207.27","3.06%","53,54,700",""
"63","PB Fintech Ltd","POLICYBZR","1,470","3.02%","10,03,976",""
"64","Gujarat Gas Limited","GUJGASLTD","317.35","3%","10,10,668",""
"65","Ola Electric Mobility Ltd","OLAELEC","29.19","3%","34,51,63,844",""
"66","Lumax Auto Technologies Limited","LUMAXTECH","1,662.2","2.99%","5,39,364",""
"67","Aditya Birla Real Estate Ltd","ABREL","1,178.7","2.98%","1,68,445",""
"68","Ather Energy Ltd","ATHERENERG","784.8","2.97%","26,02,245",""
"69","Sumitomo Chemical India Ltd","SUMICHEM","394.7","2.97%","1,91,311",""
"70","Balkrishna Industries Limited","BALKRISIND","2,128.1","2.95%","1,42,315",""
