Sr.,Stock Name,Symbol,close,%_change,volume,Add Column
"1","Trent Limited","TRENT","3,833.6","7.97%","48,77,807",""
"2","Adani Green Energy Ltd","ADANIGREEN","921.1","7.61%","1,31,13,062",""
"3","Kalyan Jewellers India Ltd","KALYANKJIL","420.35","6.59%","1,22,49,798",""
"4","L&T Finance Ltd","LTF","255.45","6.28%","1,16,78,955",""
"5","PTC Industries Ltd","PTCIL","15,554","5.62%","19,177",""
"6","Prime Focus Limited","PFOCUS","349.5","5.53%","82,45,853",""
"7","Vishal Mega Mart Ltd","VMM","113.74","5.43%","2,52,29,396",""
"8","Adani Energy Solutions Ltd","ADANIENSOL","991.35","5.28%","20,83,508",""
"9","Godrej Properties Limited","GODREJPROP","1,584.7","5.07%","22,23,294",""
"10","Kaynes Technology India Ltd","KAYNES","3,706.5","4.76%","22,14,333",""
"11","LG Electronics India Ltd","LGEINDIA","1,379.7","4.62%","14,56,472",""
"12","BSE (Bombay stock exchange) Ltd","BSE","2,982.3","4.59%","59,62,836",""
"13","Dalmia Bharat Limited","DALBHARAT","1,875.4","4.52%","2,78,559",""
"14","Aditya Birla Capital Ltd","ABCAPITAL","311.3","4.38%","40,34,504",""
"15","Avenue Supermarts Ltd","DMART","4,551.3","4.33%","19,15,220",""
"16","Bandhan Bank Ltd","BANDHANBNK","152.58","4.26%","1,55,19,780",""
"17","Nmdc Limited","NMDC","81.4","4.25%","5,24,39,160",""
"18","Bank Of Maharashtra Ltd","MAHABANK","66.59","4.23%","2,06,26,583",""
"19","Pnb Housing Finance Limited","PNBHOUSING","817.35","4.2%","8,32,589",""
"20","Bosch Limited","BOSCHLTD","33,460","4.12%","65,114",""
"21","Bank Of Baroda Ltd","BANKBARODA","259.76","4.09%","2,21,52,306",""
"22","Shriram Finance Ltd","SHRIRAMFIN","928","4.08%","58,98,399",""
"23","Axis Bank Limited","AXISBANK","1,245.3","3.96%","78,47,086",""
"24","Narayana Hrudayalaya Ltd.","NH","1,685.9","3.75%","2,78,879",""
"25","Lenskart Solutions Ltd","LENSKART","503.05","3.73%","19,75,777",""
"26","Adani Enterprises Limited","ADANIENT","1,902.2","3.71%","31,53,437",""
